,Unnamed: 0,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
50,383456,1975,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,live,3.0,,CA,DE,,Z,,I,,,
51,383457,1975,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,skins,1.0,,CA,DE,,,,I,,,
52,383458,1975,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,live,1.0,,CH,DE,,Z,C,I,,,
53,383459,1975,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,skins,5.0,,CH,XX,CH,,,I,,,
54,383460,1975,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,garments,1.0,,CH,DE,,,,I,,,
55,383461,1975,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,garments,4.0,,CH,PT,,,,I,,,
56,383462,1975,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,CH,BW,,,,I,,,
57,383463,1975,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,CH,KE,,,,I,,,
58,383464,1975,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,CH,ZA,,,,I,,,
59,383465,1975,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,live,1.0,,XX,CH,,,C,E,,,
60,383466,1975,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,skins,5.0,,XX,CH,,,,E,,,
61,393788,1975,II,Panthera tigris altaica,Mammalia,Carnivora,Felidae,Panthera,live,5.0,,JP,CA,,,C,E,,,
62,393789,1975,II,Panthera tigris altaica,Mammalia,Carnivora,Felidae,Panthera,live,2.0,,CH,DE,,Z,C,I,,,
63,412644,1975,II,Phoenicoparrus jamesi,Aves,Ciconiiformes,Phoenicopteridae,Phoenicoparrus,live,5.0,,XX,CH,,,,E,,,
64,434591,1975,II,Python curtus,Reptilia,Serpentes,Pythonidae,Python,live,2.0,,CH,TH,,P,,I,,,
65,438715,1975,I,Python molurus molurus,Reptilia,Serpentes,Pythonidae,Python,skins,25.0,,XX,CH,,,,E,,,
66,438936,1975,II,Python sebae,Reptilia,Serpentes,Pythonidae,Python,skins,2.0,,CH,XX,,,,I,,,
67,468531,1975,II,Stigmochelys pardalis,Reptilia,Testudines,Testudinidae,Stigmochelys,live,10.0,,CH,KE,,T,,I,,,
68,470449,1975,I,Syrmaticus humiae,Aves,Galliformes,Phasianidae,Syrmaticus,live,2.0,,CH,DE,,P,C,I,,,
69,470789,1975,I,Tapirus indicus,Mammalia,Perissodactyla,Tapiridae,Tapirus,live,3.0,,CA,DK,,Z,,I,,,
70,472574,1975,I,Tomistoma schlegelii,Reptilia,Crocodylia,Crocodylidae,Tomistoma,live,1.0,,XX,CH,,,,E,,,
71,485910,1975,I,Uncia uncia,Mammalia,Carnivora,Felidae,Uncia,live,1.0,,CH,FI,,Z,C,I,,,
