,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
89,799775,799775,799775,10948303,2007,II,Rhipsalis baccifera,,Caryophyllales,Cactaceae,Rhipsalis,live,12.0,,CH,NL,,T,A,I,,1a57061fa6,
63,468514,468514,468514,10233491,2007,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,extract,2.0,kg,US,FR,ET,T,W,E,,b8204f1c38,2859e02451
797,4659,4659,4659,3013145,2007,II,Amyda cartilaginea,Reptilia,Testudines,Trionychidae,Amyda,live,30.0,,HK,ID,,T,W,E,,307e0fcee6,
90,179733,179733,179733,3438277,2007,II,Scleractinia spp.,Anthozoa,Scleractinia,,,raw corals,11433.0,kg,US,FJ,,T,W,I,,3cacdcac37,
851,99247,99247,99247,3227331,2007,II,Favites spp.,Anthozoa,Scleractinia,Faviidae,Favites,live,5.0,,US,TO,,T,W,I,,42d0482b5c,
990,421433,421433,421433,10075280,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),5.0,,US,CH,US,T,W,I,,3865fb9705,
466,493620,493620,493620,10271260,2007,II,Favites chinensis,Anthozoa,Scleractinia,Faviidae,Favites,live,5.0,,US,ID,,T,W,I,,dbffdd506e,
74,863837,863837,863837,13768675,2007,II,Lepanthes spp.,,Orchidales,Orchidaceae,Lepanthes,live,5.0,,DE,CO,,T,A,I,d990922e5f,be0938a9d2,
686,699027,699027,699027,10611030,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,ES,CH,US,T,W,E,,1c2e47f82c,347ea42908
205,217401,217401,217401,3519637,2007,II,Astrophytum myriostigma,,Caryophyllales,Cactaceae,Astrophytum,live,33.0,,US,CA,,T,A,E,,f7cc7e15ac,
988,454367,454367,454367,10215282,2007,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,4.0,,HK,JP,VE,T,W,I,,377584d419,
622,290467,290467,290467,3852365,2007,II,Panax quinquefolius,,Apiales,Araliaceae,Panax,roots,1.36,kg,HK,CA,,T,A,E,,b83cfb93c1,
420,836731,836731,836731,11347939,2007,II,Parodia crassigibba,,Caryophyllales,Cactaceae,Parodia,live,42.0,,US,CA,,T,A,E,,829bcaf9b0,
155,290185,290185,290185,3852083,2007,II,Panax quinquefolius,,Apiales,Araliaceae,Panax,roots,0.91,kg,HK,CA,,T,A,E,,9ac3fb2c73,
635,186597,186597,186597,3447950,2007,I,Scleropages formosus,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,live,1.0,,KR,SG,ID,T,D,I,,627d58d3c5,
406,580652,580652,580652,10390899,2007,II,Python regius,Reptilia,Serpentes,Pythonidae,Python,live,10.0,,US,FR,TG,T,R,I,,2c6d97bbca,
804,876578,876578,876578,13898996,2007,II,Pleurothallis spp.,,Orchidales,Orchidaceae,Pleurothallis,live,2.0,,US,EC,,T,A,E,,,
543,473996,473996,473996,10240287,2007,II,Cymbidium spp.,,Orchidales,Orchidaceae,Cymbidium,live,35000.0,,KR,TW,,T,A,I,,b5cc68f247,
531,381521,381521,381521,10035294,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,CH,FR,US,T,C,E,,e580c6b718,d835df4bf2
8,529608,529608,529608,10314697,2007,II,Lycalopex griseus,Mammalia,Carnivora,Canidae,Lycalopex,garments,64.0,,IT,TR,AR,T,W,E,,0600bfd598,
71,362704,362704,362704,10016456,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),3.0,,CH,AT,US,T,W,E,,44e34b286a,
607,123189,123189,123189,3289105,2007,II,Masdevallia replicata,,Orchidales,Orchidaceae,Masdevallia,live,1.0,,US,CO,,T,A,E,,e1577ebec6,
701,243107,243107,243107,3635103,2007,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,FR,CH,ZA,T,C,E,,78b29d44af,fb6e62df70
455,355756,355756,355756,10008807,2007,II,Acropora spp.,Anthozoa,Scleractinia,Acroporidae,Acropora,live,9.0,,RU,ID,,T,W,E,,9f23542701,
307,694400,694400,694400,10606403,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,FR,CH,US,T,W,E,,30b9bbc1c5,da23b89b45
714,63009,63009,63009,3149658,2007,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,CN,FR,AU,P,C,E,,39a346a0a3,ccda0ec097
911,226732,226732,226732,3553615,2007,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),20.0,,JP,KR,CO,T,C,I,,0843196bc6,
5,611503,611503,611503,10429611,2007,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),30.0,,JP,ID,,T,W,I,,53d7ccdf33,
801,234829,234829,234829,3605895,2007,II,Cleistocactus smaragdiflorus,,Caryophyllales,Cactaceae,Cleistocactus,live,2.0,,US,CA,,T,A,E,,07ea481954,
415,605986,605986,605986,10416372,2007,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,skin pieces,2.0,,US,IT,VN,T,W,I,,fc1f26b24e,
480,320831,320831,320831,5333429,2007,II,Platygyra spp.,Anthozoa,Scleractinia,Faviidae,Platygyra,live,1.0,,US,AU,,T,W,E,,a162540012,
326,168283,168283,168283,3407001,2007,II,Rodriguezia lanceolata,,Orchidales,Orchidaceae,Rodriguezia,live,15.0,,US,CO,,T,A,E,,92e4daaa1e,
100,283014,283014,283014,3832335,2007,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,500.0,,JP,TW,,T,A,I,,bf3b6903e5,
40,815718,815718,815718,11199512,2007,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,live,4.0,,RU,UA,,Q,C,E,,9d4c8d05e5,
370,251317,251317,251317,3698269,2007,II,Cyathea australis,,Cyatheales,Cyatheaceae,Cyathea,live,1.0,,US,CA,,T,A,E,,5a3b5db6d0,
785,353231,353231,353231,10006282,2007,II,Acropora spp.,Anthozoa,Scleractinia,Acroporidae,Acropora,live,30.0,,US,TO,,T,W,I,,,
201,438151,438151,438151,10192975,2007,III,Antilope cervicapra,Mammalia,Artiodactyla,Bovidae,Antilope,trophies,1.0,,ES,AR,,H,W,I,,3a695e8d1f,
88,61642,61642,61642,3148291,2007,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),4.0,,SG,FR,AU,T,C,E,,267395bfab,516a7b1960
948,99853,99853,99853,3227937,2007,II,Favites spp.,Anthozoa,Scleractinia,Faviidae,Favites,live,5.0,,US,ID,,T,W,I,,77aeef33c0,
348,680731,680731,680731,10592734,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,JO,CH,US,T,R,E,,76dada6c87,f666119fe5
661,142911,142911,142911,3355634,2007,II,Platygyra spp.,Anthozoa,Scleractinia,Faviidae,Platygyra,live,30.0,,GB,FJ,,T,W,I,c1ca1aae9d,18ddb7157b,
882,752806,752806,752806,10664809,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,CH,FR,US,T,C,I,,291dec1908,890ad18a76
599,727437,727437,727437,10639440,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),5.0,,FR,CH,US,T,C,E,,00c54aabf4,255959b8c8
190,831616,831616,831616,11321874,2007,II,Masdevallia saltatrix,,Orchidales,Orchidaceae,Masdevallia,live,3.0,,BR,EC,,T,A,E,,,
870,549486,549486,549486,10346433,2007,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,live,14.0,,CA,US,,T,A,E,,c422fc50cb,
